User ID,Age,Gender,EstimatedSalary,Discount
15734312,38,1,71000,23
15764604,49,1,88000,23
15613014,52,0,38000,2
15759684,50,0,36000,2
15609669,59,0,88000,3
15685536,35,1,61000,3
15750447,37,1,70000,3
15663249,52,0,21000,3
15638646,48,1,141000,3
15734161,37,0,93000,3
15631070,37,0,62000,3
15761950,48,0,138000,3
15649668,41,1,79000,3
15713912,37,0,78000,34
15586757,39,1,134000,34
15596522,49,1,89000,3
15625395,55,1,39000,3
15760570,37,1,77000,3
15566689,35,0,57000,4
15725794,36,0,63000,4
15673539,42,1,73000,44
15705298,43,0,112000,5
15675791,45,1,79000,5
15747043,46,1,117000,5
15736397,58,0,38000,5
15678201,48,1,74000,5
15720745,37,0,137000,5
15637593,37,1,79000,5
15598070,40,0,60000,5
15787550,42,1,54000,5
15603942,51,0,134000,5
15733973,47,0,113000,5
15596761,36,1,125000,5
15652400,38,0,50000,5
15717893,42,0,70000,5
15622585,39,1,96000,56
15733964,38,0,50000,56
15753861,49,0,141000,56
15747097,39,0,79000,6
15594762,39,0,75000,6
15667417,54,0,104000,6
15684861,35,1,55000,6
15742204,45,1,32000,6
15623502,36,1,60000,6
15774872,52,0,138000,6
15611191,53,0,82000,6
15674331,41,1,52000,6
15619465,48,0,30000,6
15575247,48,0,131000,6
15695679,41,0,60000,6
15713463,41,1,72000,6
15785170,42,0,75000,6
15796351,36,1,118000,6
15639576,47,0,107000,6
15693264,38,1,51000,6
15589715,48,0,119000,6
15769902,42,1,65000,6
15587177,40,1,65000,6
15814553,57,1,60000,66
15601550,36,0,54000,66
15664907,58,1,144000,66
15612465,35,1,79000,66
15810800,38,0,55000,66
15665760,39,1,122000,66
15588080,53,0,104000,66
15776844,35,1,75000,7
15717560,38,0,65000,7
15629739,47,0,51000,7
15729908,47,1,105000,7
15716781,41,0,63000,7
15646936,53,1,72000,7
15768151,54,0,108000,7
15579212,39,1,77000,7
15721835,38,1,61000,7
15800515,38,0,113000,67
15591279,37,1,75000,67
15587419,42,0,90000,7
15750335,37,0,57000,7
15699619,36,1,99000,7
15606472,60,1,34000,7
15778368,54,1,70000,7
15671387,41,0,72000,7
15573926,40,1,71000,8
15709183,42,1,54000,8
15577514,43,1,129000,8
15778830,53,0,34000,8
15768072,47,0,50000,8
15768293,42,0,79000,8
15654456,42,1,104000,8
15807525,59,0,29000,8
15574372,58,0,47000,8
15671249,46,1,88000,8
15779744,38,1,71000,84
15624755,54,0,26000,8
15611430,60,0,46000,88
15774744,60,1,83000,88
15629885,39,0,73000,9
15708791,59,1,130000,9
15793890,37,0,80000,9
15646091,46,0,32000,9
15596984,46,0,74000,9
15800215,42,0,53000,9
15577806,41,1,87000,9
15749381,58,0,23000,9
15683758,42,1,64000,9
15670615,48,1,33000,9
15715622,44,0,139000,9
15707634,49,1,28000,9
15806901,57,0,33000,9
15775335,56,1,60000,9
15724150,49,0,39000,84
15627220,39,1,71000,8
15672330,47,1,34000,88
15668521,48,0,35000,88
15807837,48,1,33000,9
15592570,47,1,23000,9
15748589,45,0,45000,9
15635893,60,1,42000,9
15757632,39,0,59000,9
15691863,46,0,41000,9
15706071,51,1,23000,2
15654296,50,0,20000,23
15755018,36,1,33000,23
15594041,49,0,36000,2
