User ID,Age,Quantity,EstimatedWages,Discount
15766289,27,42,1730,0.45
15593014,28,39,1793,0.51
15584545,32,12,1281,0.94
15675949,33,7,1545,0.12
15672091,19,40,1546,0.33
15801658,21,3,1068,0.76
15706185,26,19,1518,0.14
15789863,27,14,1025,0.88
15720943,26,11,1845,0.62
15697997,38,1,1871,0.99
15665416,39,33,1770,0.47
156602,37,28,1068,1.00
15619653,38,19,1714,0.55
15773447,37,6,1227,0.90
15739160,42,21,1090,0.35
15689237,40,14,1936,0.39
15679297,35,38,1500,0.58
15591433,36,25,1344,0.97
15642725,40,45,1836,0.38
15701962,41,39,1765,0.13
15811613,36,27,1375,0.12
15741049,37,27,1142,0.34
15724423,40,7,1314,0.29
15574305,35,30,1394,0.39
15678168,41,33,1658,0.49
15697020,39,19,1703,0.87
15610801,42,37,1951,0.24
15745232,26,11,1189,0.18
15722758,30,23,1073,0.06
15792102,26,42,1162,0.88
15675185,31,48,1054,0.70
15801247,33,34,1036,0.88
15725660,30,44,1911,0.88
15638963,21,32,1710,0.45
158061,28,50,1395,0.56
155786,23,10,1672,0.90
15668504,20,34,1701,0.60
15687491,30,27,1841,0.82
15610403,28,22,1209,1.00
15741094,19,12,1465,0.36
15807909,19,4,1911,0.99
15666141,18,7,1327,0.98
15617134,35,35,1870,0.64
15783029,30,31,1755,0.23
15622833,34,25,1263,0.76
15746422,24,39,1225,0.73
15750839,27,28,1511,0.55
15749130,41,5,1291,0.41
15779862,29,37,1600,0.67
15767871,20,21,1532,0.80
15679651,26,20,1128,0.24
15576219,41,9,1751,0.70
15699247,31,10,1237,0.71
15619087,36,20,1344,0.90
15605327,40,44,1229,0.40
15610140,31,3,1421,0.87
15791174,46,0,1193,0.71
15602373,29,0,1473,1.00
15762605,26,49,1556,0.66
15598840,32,4,1028,0.84
15744279,32,19,1688,0.67
15670619,25,23,1340,0.67
15599533,37,34,1516,0.79
15757837,35,35,1565,0.94
15697574,33,28,1540,0.18
15578738,18,0,1991,0.74
15762228,22,42,1947,0.50
15614827,35,47,1226,0.39
15789815,29,32,1206,0.31
15579781,29,1,1247,0.94
15587013,21,20,1173,0.20
15570932,34,15,1305,0.32
15794661,26,50,1774,0.14
15581654,34,15,1438,0.84
15644296,34,13,1548,0.36
15614420,23,15,1754,0.63
15609653,35,33,1891,0.97
15594577,25,46,1620,0.61
15584114,24,27,1141,0.86
15673367,31,9,1747,0.19
15685576,26,30,1243,0.39
15774727,31,44,1616,0.13
15694288,32,46,1414,0.27
15603319,33,42,1709,0.28
15759066,33,35,1998,0.37
15814816,31,47,1110,0.88
15724402,20,12,1219,1.00
15571059,33,45,1984,0.52
15674206,35,8,1307,0.86
15715160,28,8,1568,0.63
15730448,24,48,1925,0.71
15662067,19,6,1550,0.44
15779581,29,21,1210,0.29
15662901,19,47,1898,0.54
15689751,28,13,1203,0.74
15667742,34,12,1049,0.45
15738448,30,38,1688,0.02
15680243,20,1,1809,0.05
15745083,26,31,1252,0.99
15708228,35,23,1868,0.74
15628523,35,17,1356,0.81
15708196,49,17,1423,0.32
15735549,39,13,1526,0.17
15809347,41,23,1556,0.53
15660866,58,46,1928,0.92
15766609,47,13,1246,0.32
15654230,55,6,1941,0.64
15794566,52,19,1345,0.32
158890,40,45,1920,0.56
15697424,46,29,1704,0.23
15724536,48,17,1052,0.54
15735878,52,38,1979,0.65
15707596,59,40,1146,0.26
15657163,35,10,1155,0.83
15622478,47,0,1466,0.96
15779529,60,20,1755,0.41
15636023,49,15,1469,0.44
15582066,40,29,1837,0.65
15666675,46,1,1157,0.35
15732987,59,26,1752,0.80
15789432,41,11,1855,0.88
15663161,35,11,1689,0.29
15694879,37,2,1592,0.29
15593715,60,15,1652,0.85
155752,35,9,1077,0.00
15622171,37,6,1126,0.01
15795224,36,16,1087,0.03
15685346,56,21,1154,0.96
15691808,40,23,1051,0.75
157217,42,43,1425,0.07
15794253,35,34,1866,0.10
15694453,39,26,1681,0.71
15813113,40,20,1629,0.13
15614187,49,6,1835,0.40
15619407,38,46,1357,0.87
15646227,46,3,1588,0.53
15660541,40,33,1644,0.25
15753874,37,21,1650,0.29
15617877,46,10,1654,0.64
15772073,53,25,1265,0.34
15701537,42,12,1646,0.28
15736228,38,3,1175,0.36
15780572,50,16,1448,0.19
15769596,56,10,1921,0.50
15586996,41,15,1379,0.60
15722061,51,3,1136,0.64
156383,35,0,1228,0.51
15775590,57,46,1565,0.35
15730688,41,38,1232,0.79
15753102,35,28,1053,0.60
158175,44,21,1562,0.58
15723373,37,37,1548,0.55
15795298,48,25,1086,0.10
15584320,37,23,1900,0.79
15724161,50,26,1368,0.60
157556,52,39,1290,0.08
15609637,41,42,1483,0.08
15794493,40,24,1051,0.62
15569641,58,17,1204,0.25
15815236,45,20,1761,0.24
15811177,35,17,1606,0.02
15680587,36,42,1232,0.77
15672821,55,23,1567,0.12
15767681,35,25,1416,0.05
156379,48,24,1486,0.22
15801336,42,36,1397,0.57
15721592,40,42,1867,0.79
15581282,37,27,1517,0.94
15746203,47,5,1701,0.78
15583137,40,4,1683,0.83
15680752,43,46,1384,0.29
15688172,59,40,1247,0.76
15791373,60,4,1697,0.69
15589449,39,12,1843,0.50
15692819,57,5,1600,0.40
15727467,57,41,1637,0.50
15734312,38,3,1060,0.68
15764604,49,11,1843,0.65
15613014,52,5,1600,0.10
15759684,50,2,1218,0.53
15609669,59,5,1816,0.98
15685536,35,17,1330,0.93
15750447,37,49,1444,0.28
15663249,52,12,1429,0.58
15638646,48,25,1305,0.13
15734161,37,7,1238,0.64
15631070,37,23,1420,0.66
15761950,48,1,1532,0.08
15649668,41,3,1595,0.67
15713912,37,9,1039,0.02
15586757,39,24,1827,0.28
15596522,49,17,1789,0.16
15625395,55,20,1562,0.92
15760570,37,1,1358,0.38
15566689,35,1,1329,0.62
15725794,36,13,1292,0.74
15673539,42,19,1778,0.22
15705298,43,0,1252,0.57
15675791,45,14,1843,0.08
15747043,46,40,1622,0.52
15736397,58,21,1042,0.73
15678201,48,17,1799,0.23
15720745,37,9,1206,0.13
15637593,37,27,1745,0.78
15598070,40,29,1987,0.41
15787550,42,11,1613,0.81
15603942,51,10,1298,0.60
15733973,47,39,1200,0.76
15596761,36,5,1607,0.92
156524,38,49,1432,0.41
15717893,42,46,1236,0.01
15622585,39,33,1556,0.11
15733964,38,43,1280,0.62
15753861,49,39,1646,0.76
15747097,39,2,1300,0.30
15594762,39,19,1601,0.19
15667417,54,16,1261,0.65
15684861,35,21,1683,0.84
15742204,45,30,1558,0.57
15623502,36,9,1709,0.30
15774872,52,32,1582,0.02
15611191,53,39,1365,0.41
15674331,41,7,1194,0.11
15619465,48,36,1417,0.67
15575247,48,32,1919,0.66
15695679,41,31,1324,0.39
15713463,41,32,1118,0.25
15785170,42,38,1978,0.07
15796351,36,5,1292,0.18
15639576,47,23,1659,0.82
15693264,38,12,1130,0.13
15589715,48,35,1753,0.54
15769902,42,35,1921,0.10
15587177,40,8,1871,0.09
15814553,57,14,1274,0.71
15601550,36,47,1386,0.23
15664907,58,13,1523,0.41
15612465,35,9,1491,0.23
158108,38,2,1807,0.03
15665760,39,15,1354,0.42
15588080,53,0,1941,0.89
15776844,35,44,1320,0.18
15717560,38,0,1806,0.21
15629739,47,31,1969,0.20
15729908,47,29,1657,0.20
15716781,41,46,1816,0.17
15646936,53,29,1377,0.56
15768151,54,4,1814,0.26
15579212,39,29,1744,0.64
15721835,38,23,1933,0.22
158515,38,30,1529,0.66
15591279,37,36,1632,0.76
15587419,42,24,1009,0.41
15750335,37,17,1266,0.23
15699619,36,43,1558,0.30
15606472,60,32,1673,0.84
15778368,54,22,1243,0.06
15671387,41,32,1375,0.71
15573926,40,1,1356,0.28
15709183,42,21,1673,0.56
15577514,43,46,1009,0.37
15778830,53,4,1335,0.55
15768072,47,35,1168,0.96
15768293,42,13,1083,0.42
15654456,42,1,1268,0.31
15807525,59,34,1044,0.36
15574372,58,43,1932,0.87
15671249,46,28,1566,0.42
15779744,38,33,1717,0.49
15624755,54,21,1008,0.55
15611430,60,12,1062,0.69
15774744,60,39,1476,0.08
15629885,39,22,1637,0.51
15708791,59,47,1150,0.27
15793890,37,0,1054,0.80
15646091,46,5,1628,0.69
15596984,46,47,1199,0.42
158215,42,24,1518,0.70
15577806,41,7,1462,0.17
15749381,58,0,1606,0.53
15683758,42,39,1815,0.21
15670615,48,3,1032,0.24
15715622,44,14,1033,0.14
15707634,49,40,1389,0.14
15806901,57,46,1634,0.40
15775335,56,36,1351,0.65
15724150,49,14,1215,0.88
15627220,39,47,1535,0.04
15672330,47,42,1074,0.59
15668521,48,5,1493,0.69
15807837,48,13,1309,0.60
15592570,47,25,1156,0.07
15748589,45,18,1030,0.78
15635893,60,23,1139,0.76
15757632,39,33,1478,0.41
15691863,46,49,1798,0.61
15706071,51,5,1723,0.61
15654296,50,47,1766,0.99
15755018,36,29,1121,0.95
15594041,49,49,1439,0.95
