User ID,Age,Quantity,EstimatedWages,Discount
15694879,37,10,750,0.55
15593715,60,30,630,0.68
155752,35,9,720,0.74
15622171,37,37,750,0.69
15795224,36,0,210,0.92
15685346,56,17,1330,0.05
15691808,40,23,720,0.85
157217,42,9,720,0.41
15794253,35,34,750,0.20
15694453,39,48,630,0.73
15813113,40,14,720,0.01
15614187,49,37,750,0.30
15619407,38,0,210,0.34
15646227,46,17,210,0.82
15660541,40,11,730,0.31
15753874,37,2,930,0.12
15617877,46,8,620,0.52
15772073,53,9,730,0.15
15701537,42,39,730,0.91
15736228,38,4,930,0.02
15780572,50,16,620,0.93
15769596,56,22,730,0.89
15586996,41,43,790,0.33
15722061,51,2,780,0.74
156383,35,21,970,0.59
15775590,57,17,970,0.07
15730688,41,38,520,0.40
15753102,35,13,970,0.88
158175,44,35,390,0.31
15723373,37,16,520,0.48
15795298,48,42,610,0.77
15584320,37,16,210,0.19
15724161,50,31,760,0.03
157556,52,27,420,0.95
15609637,41,12,210,0.56
15794493,40,43,260,0.95
15569641,58,13,740,0.60
15815236,45,9,770,0.76
15811177,35,28,770,0.40
15680587,36,20,720,0.33
15672821,55,36,720,0.74
15767681,35,29,720,0.64
156379,48,15,720,0.83
15801336,42,2,720,0.75
15721592,40,36,750,0.12
15581282,37,21,740,0.52
15746203,47,41,210,0.91
15583137,40,4,610,0.44
15680752,43,21,210,0.19
15688172,59,23,760,0.60
15791373,60,4,420,0.52
15589449,39,50,210,0.97
15692819,57,21,260,0.92
15727467,57,18,740,0.70
15734312,38,3,710,0.24
15764604,49,47,880,0.46
15613014,52,22,380,0.56
15759684,50,25,360,0.10
15609669,59,24,880,0.34
15685536,35,35,610,0.64
15750447,37,30,210,0.41
15663249,52,12,210,0.29
15638646,48,43,730,0.11
15734161,37,3,930,0.97
15631070,37,48,620,0.21
15761950,48,13,730,0.11
15649668,41,3,790,0.48
15713912,37,48,780,0.14
15586757,39,28,730,0.42
15596522,49,17,890,0.02
15625395,55,21,390,0.31
15760570,37,23,770,0.34
15566689,35,30,570,0.31
15725794,36,13,630,0.23
15673539,42,47,730,0.70
15705298,43,42,120,0.26
15675791,45,22,790,0.13
15747043,46,18,120,0.53
15736397,58,16,380,0.07
15678201,48,47,740,0.73
15720745,37,33,120,0.10
15637593,37,23,790,0.24
15598070,40,49,120,0.01
15787550,42,15,540,0.50
15603942,51,17,120,0.17
15733973,47,18,750,0.02
15596761,36,16,750,0.16
156524,38,1,960,0.30
15717893,42,24,960,0.99
15622585,39,3,960,0.07
15733964,38,23,750,0.98
15753861,49,41,750,0.56
15747097,39,2,790,0.13
15594762,39,21,750,0.64
15667417,54,6,750,0.81
15684861,35,37,550,0.28
15742204,45,29,320,0.50
15623502,36,9,520,0.70
15774872,52,28,520,0.00
15611191,53,12,820,0.45
15674331,41,4,520,0.18
15619465,48,23,750,0.99
15575247,48,9,750,0.17
15695679,41,13,750,0.41
15713463,41,25,720,0.44
15785170,42,36,750,0.07
15796351,36,29,540,0.33
15639576,47,3,540,0.92
15693264,38,47,510,0.84
15589715,48,26,540,0.09
15769902,42,48,650,0.20
15587177,40,13,240,0.61
15814553,57,29,240,0.08
15601550,36,3,540,0.90
15664907,58,14,240,0.32
15612465,35,10,790,0.65
158108,38,16,550,0.35
15665760,39,39,240,0.47
15588080,53,26,240,0.37
15776844,35,14,750,0.31
15717560,38,40,650,0.13
15629739,47,37,510,0.44
15729908,47,16,750,0.33
15716781,41,6,630,0.29
15646936,53,41,720,0.73
15768151,54,12,750,0.97
15579212,39,34,770,0.79
15721835,38,36,610,0.63
158515,38,25,750,0.88
15591279,37,21,750,0.31
15587419,42,8,720,0.77
15750335,37,20,570,0.61
15699619,36,49,990,0.27
15606472,60,15,340,0.36
15778368,54,9,720,0.67
15671387,41,2,720,0.01
15573926,40,1,710,0.92
15709183,42,4,540,0.87
15577514,43,47,340,0.66
15778830,53,47,340,0.19
15768072,47,31,460,0.97
15768293,42,45,790,0.71
15654456,42,46,460,0.17
15807525,59,34,290,0.51
15574372,58,47,470,0.40
15671249,46,2,880,0.71
15779744,38,25,710,0.39
15624755,54,14,260,0.61
15611430,60,28,460,0.46
15774744,60,30,830,0.91
15629885,39,26,730,0.50
15708791,59,19,280,0.31
15793890,37,28,280,0.56
15646091,46,36,320,0.82
15596984,46,4,740,0.02
158215,42,38,530,0.67
15577806,41,22,870,0.68
15749381,58,9,230,0.52
15683758,42,42,640,0.60
15670615,48,3,330,0.19
15715622,44,13,130,0.18
15707634,49,40,280,0.29
15806901,57,3,330,0.00
15775335,56,30,600,0.52
15724150,49,41,390,0.26
15627220,39,19,710,0.48
15672330,47,25,340,0.98
15668521,48,1,350,0.66
15807837,48,19,330,0.32
15592570,47,36,230,0.65
15748589,45,3,450,0.74
15635893,60,39,420,0.84
15757632,39,40,590,0.97
15691863,46,7,410,0.93
15706071,51,41,230,0.63
15654296,50,48,200,0.29
15755018,36,13,330,0.50
15594041,49,0,360,0.34
